model,width,height,ppi,width_in,width_cm,height_in,height_cm
iPhone 16 Pro Max,1320,2868,460,2.80,7.12,6.08,15.44
iPhone 16 Pro,1206,2622,460,2.56,6.51,5.56,14.11
iPhone 16 Plus,1290,2796,460,2.80,7.12,6.08,15.44
iPhone 16,1179,2556,460,2.56,6.51,5.56,14.11
iPhone 15 Pro Max,1290,2796,460,2.80,7.12,6.08,15.44
iPhone 15 Pro,1179,2556,460,2.56,6.51,5.56,14.11
iPhone 15 Plus,1290,2796,460,2.80,7.12,6.08,15.44
iPhone 15,1179,2556,460,2.56,6.51,5.56,14.11
iPhone 14 Plus,1284,2778,458,2.80,7.12,6.07,15.41
iPhone 14 Pro Max,1290,2796,460,2.80,7.12,6.08,15.44
iPhone 14 Pro,1179,2556,460,2.56,6.51,5.56,14.11
iPhone 14,1170,2532,460,2.54,6.46,5.50,13.98
iPhone SE 3rd gen,750,1334,326,2.30,5.84,4.09,10.39
iPhone 13,1170,2532,460,2.54,6.46,5.50,13.98
iPhone 13 mini,1080,2340,476,2.27,5.76,4.92,12.49
iPhone 13 Pro Max,1284,2778,458,2.80,7.12,6.07,15.41
iPhone 13 Pro,1170,2532,460,2.54,6.46,5.50,13.98
iPhone 12,1170,2532,460,2.54,6.46,5.50,13.98
iPhone 12 mini,1080,2340,476,2.27,5.76,4.92,12.49
iPhone 12 Pro Max,1284,2778,458,2.80,7.12,6.07,15.41
iPhone 12 Pro,1170,2532,460,2.54,6.46,5.50,13.98
iPhone SE 2nd gen,750,1334,326,2.30,5.84,4.09,10.39
iPhone 11 Pro Max,1242,2688,458,2.71,6.89,5.87,14.91
iPhone 11 Pro,1125,2436,458,2.46,6.24,5.32,13.51
iPhone 11,828,1792,326,2.54,6.45,5.50,13.96
iPhone XR,828,1792,326,2.54,6.45,5.50,13.96
iPhone XS Max,1242,2688,458,2.71,6.89,5.87,14.91
iPhone XS,1125,2436,458,2.46,6.24,5.32,13.51
iPhone X,1125,2436,458,2.46,6.24,5.32,13.51
iPhone 8 Plus,1080,1920,401,2.69,6.84,4.79,12.16
iPhone 8,750,1334,326,2.30,5.84,4.09,10.39
iPhone 7 Plus,1080,1920,401,2.69,6.84,4.79,12.16
iPhone 7,750,1334,326,2.30,5.84,4.09,10.39
iPhone SE 1st gen,640,1136,326,1.96,4.99,3.48,8.85
iPhone 6s Plus,1080,1920,401,2.69,6.84,4.79,12.16
iPhone 6s,750,1334,326,2.30,5.84,4.09,10.39
iPhone 6 Plus,1080,1920,401,2.69,6.84,4.79,12.16
iPhone 6,750,1334,326,2.30,5.84,4.09,10.39
iPhone 5C,640,1136,326,1.96,4.99,3.48,8.85
iPhone 5S,640,1136,326,1.96,4.99,3.48,8.85
iPhone 5,640,1136,326,1.96,4.99,3.48,8.85
iPhone 4S,640,960,326,1.96,4.99,2.94,7.48
iPhone 4,640,960,326,1.96,4.99,2.94,7.48
iPhone 3GS,320,480,163,1.96,4.99,2.94,7.48
iPhone 3G,320,480,163,1.96,4.99,2.94,7.48
iPhone 1st gen,320,480,163,1.96,4.99,2.94,7.48
